# 単語,形態素解析結果の単語,読み,品詞
生年月日,生年月日,セイネンガッピ,名詞
年月日,年月日,ネンガッピ,名詞
通番,通番,ツウバン,名詞
Eメール,Eメール,email,名詞
インバン,インバン,インバン,名詞
テレバン,テレバン,テレバン,名詞
リオルグ,リオルグ,リオルグ,名詞
